drug,bcs_class,pH,time,percent_released,medium,source,note
acetaminophen,I,6.8,45min,80,phosphate-buffer-6.8,USP9925148-enteric-capsule,delayed-release <10% at pH1.2 in 2h
acetaminophen,I,1.2,15min,53,0.1N-HCl,sciencedirect-pain-relief,approx 52-55% range
acetaminophen,I,1.2,60min,67,0.1N-HCl,sciencedirect-pain-relief,approx 66-68% range
acetaminophen,I,1.2,180min,86,0.1N-HCl,sciencedirect-pain-relief,approx 85-88% range
captopril,I,NA,NA,NA,0.1N-HCl-then-pH6.8,PMC3465150,method only; no numeric % in snippet
chloroquine,I,NA,45min,94.26,water,researchsquare-Afghanistan,brand CQ-001
chloroquine,I,NA,45min,96.17,water,researchsquare-Afghanistan,brand CQ-002
chloroquine,I,NA,45min,97.63,water,researchsquare-Afghanistan,brand CQ-004
chloroquine,I,NA,45min,89.20,water,researchsquare-Afghanistan,brand CQ-005
diltiazem,I,NA,4h,15-40,NA,USP5439689-ER-patent,extended-release range
diltiazem,I,NA,8h,40-70,NA,USP5439689-ER-patent,extended-release range
diltiazem,I,NA,12h,50-85,NA,USP5439689-ER-patent,extended-release range
diltiazem,I,NA,24h,70-100,NA,USP5439689-ER-patent,extended-release range
enalapril,I,1.2,15min,85,0.1N-HCl,jpharmsci-biowaiver-enalapril,Vasotec >85% all 3 media
enalapril,I,6.8,15min,85,phosphate-buffer-6.8,jpharmsci-biowaiver-enalapril,Vasotec >85% all 3 media
enalapril,I,1.2,10min,85,0.1N-HCl,PMC8231320,FDC amlodipine-enalapril >85% in 10min
levodopa,I,NA,120min,40,0.001N-HCl-NaCl,researchgate-CFMT,approx 40% at 120 min
levofloxacin,I,NA,NA,NA,0.1N-HCl,scholarsresearch-floating-tablet,method only; no numeric % in snippet
metformin,I,6.8,45min,75,phosphate-buffer-6.8,PMC6925909,IP/USP spec NLT 75% in 45min
metformin,I,6.8,30min,80,phosphate-buffer-6.8,PMC8352574,USP single-point spec 80% at 30min
metoprolol,I,6.8,NA,NA,phosphate-buffer-6.8,PMC2663665,method only; no numeric % in snippet
metronidazole,I,1.2,60min,101,0.1N-HCl,PMC11234021,mean 101 +/- 2.22; IP NLT 85% in 60min
minocycline,I,4.5,15min,15-25,acetate-buffer-4.5,USP9561241-ER-patent,extended-release range
minocycline,I,4.5,30min,35-45,acetate-buffer-4.5,USP9561241-ER-patent,extended-release range
minocycline,I,4.5,60min,50-65,acetate-buffer-4.5,USP9561241-ER-patent,extended-release range
minocycline,I,4.5,120min,70-90,acetate-buffer-4.5,USP9561241-ER-patent,extended-release range
minocycline,I,6.8,360min,75,phosphate-buffer-6.8,PMC2865789,NLT 75% after 360 min
prednisolone,I,6.8,NA,NA,phosphate-buffer-6.8,IJNRD2506067,method only; sampled 15 and 30 min no % in snippet
promethazine,I,1.2,30min,80,0.1N-HCl,iosrphr-v3i11,9 of 10 brands >80% in 30min
promethazine,I,1.2,15min,92.3,0.1N-HCl,PMC8180616,approx 92.3% at 15min
propranolol,I,NA,30min,88,NA,academia-comparative-study,reference brand 88%; locals 80-87%
theophylline,I,1.2,60min,6.6-50.1,SGF,pubmed-6470957,SR range 1h gastric fluid
theophylline,I,NA,6h,10.8-86.5,NA,pubmed-6470957,SR range at 6h
theophylline,I,6.8,5h,95,phosphate-buffer-6.8,pubmed-6470957,Theo-Dur >95% in 5h
tramadol,I,1.2,30min,80,0.1N-HCl,USP-monograph,NLT 80% in 30min
tramadol,I,1.2,30min,100,0.1N-HCl,biomedpharmajournal-ER,IR cores 100% in ~30min
